order,node,status,evidence_or_blocker,next_gate
1,PostgreSQL ordinary-role Forced RLS,IMPLEMENTED_EXTERNAL_VALIDATION_PENDING,Existing attack harness and offline policy checks; no real ordinary-role DSNs,Execute raw-SQL matrix with non-owner NOSUPERUSER NOBYPASSRLS roles
2,Keycloak PKCE refresh logout MFA expiry,CORE_IMPLEMENTED_LIVE_VALIDATION_PENDING,OIDC JWT/JWKS boundary exists; browser lifecycle still needs a reachable realm,Add local lifecycle harness then execute against real Keycloak
3,MinIO S3 ClamAV lifecycle,IMPLEMENTATION_PENDING,Actual main source does not contain a complete secure storage lifecycle,Implement adapters and local service-stack tests before external validation
4A,Fiber bundle strand cassette splice-slot API,REMOTE_CODE_AND_LOCAL_GATES_PASSED,C1 source on PR7; 47 focused tests; included in 71-test advanced regression,Full host-app regression and real PostgreSQL verification
4B,Fiber UI and advanced workbench,REMOTE_SOURCE_AND_REPRODUCIBLE_GATES_PUBLISHED_RERUN_PENDING,Advanced workbench and both UI helper gates are in PR7; validated-equivalent helper gates passed,Run full dependency typecheck Vite build and browser E2E against the exact remote layout
4C,Port termination Pair Channel OTDR Breakout generic Trace,REMOTE_SOURCE_AND_REPRODUCIBLE_TESTS_PUBLISHED_RERUN_PENDING,Migration 005 modular source JUnit evidence and advanced domain API migration trace tests are all in PR7,Run scripts/verify_pr7_c2c3.sh and full host regression against PR7 HEAD then mark verified
5,2D Floor Plan Editor,REMOTE_SOURCE_AND_REPRODUCIBLE_GATES_PUBLISHED_RERUN_PENDING,Revision 006 immutable revisions strict API composition entrypoint static editor tests and scripts/verify_pr7_c4.sh are in PR7,Rerun exact remote layout integrate primary entrypoint and execute browser interaction tests
6,Camera QR PWA queue conflicts,REMOTE_SOURCE_AND_REPRODUCIBLE_GATES_PUBLISHED_RERUN_PENDING,Revision 007 server idempotency camera allowlist IndexedDB queue conflict UX service worker tests and scripts/verify_pr7_c5.sh are in PR7,Rerun exact remote layout then test real mobile camera installability process eviction and OIDC expiry
7,NetBox signed retry webhook,NEXT_IMPLEMENTATION_NODE,C1-C5 source and reproducible gates are published; exact-layout execution remains,Implement adapter contract durable outbox HMAC timestamp replay protection retry dead-letter and mock integration tests
8,OpenTelemetry logs metrics traces alerts,NOT_STARTED,No reliable implementation in PR7 yet,Instrumented runtime collector failure and alert tests
9,PITR attachments RPO RTO,EXTERNAL_VALIDATION_PENDING,Needs implemented storage plus isolated recovery stack,Approved destructive drill with measured RPO and RTO
